,Name,Score,XP
1,kserks2727,317,10036
2,Gurume_umshi,120,4640
3,keeta2014,260,4537
4,Keerin2013,186,4381
5,Арина,99,4053
6,ken kawin,214,3783
7,yenmilee,103,3772
8,IvanIvo,101,3614
9,PumpkinLawn,168,3304
10,l_s_deus,19,2631
11,richyfourtytwo,79,2609
12,Ivan Detkov,56,2602
13,crazypenguin,74,2559
14,Violetta,213,2558
15,kai kawee,168,2552
16,Romart,60,2479
17,wyverx,72,2435
18,ver2xa,111,2391
19,OIL_000,69,2307
20,Arthit,63,2273
21,Nastia,121,2051
22,agnese,68,1913
23,rawu,48,1904
24,Hayatyan,40,1898
25,ooaa,46,1872
26,Ener,36,1872
27,punyisa-MH,60,1865
28,Sunshine123,53,1834
29,Alexey11,55,1833
30,27B27-yuxian,50,1778
31,Jia jie,47,1716
32,aloneal,22,1570
33,27B16-Phua,45,1547
34,Citery,75,1525
35,Semetei,24,1461
36,Brigadoon,33,1449
37,Ubergite,104,1438
38,kongbenggggg,59,1437
39,midmit,53,1435
40,Hrewsahgs,37,1394
41,Fon_MH,32,1393
42,OleksandrY,27,1387
43,YarikRo,24,1362
44,SideArket,25,1348
45,Chelpy_kr,34,1331
46,ZeleninDE,59,1247
47,Mila18,42,1239
48,tarantool,21,1236
49,AsyaLark,60,1224
50,Us0kerra,161,1213
51,Erhan BARIS,48,1196
52,Techin,27,1175
53,Revelation,26,1122
54,Harshit Tiwari,38,1103
55,Piniouf,18,1103
56,Louise Roullier,35,1090
57,Incognito,14,1080
58,คิน วท.นฐ.,25,1073
59,felino,110,1052
60,Fanfate,15,1043
61,Djab,12,1008
62,Jslate,25,1000
63,Orinoko,54,996
64,weasy,37,988
65,Yarosurabu,10,980
66,Jokohouse,20,961
67,27B05-wenci,27,943
68,Suhas,21,912
69,dtiger,14,906
70,Zumo,28,905
71,BONUS_MH,29,890
72,kerekecuk,22,888
73,ozgur iscimen,28,859
74,HolyD,19,834
75,27B14-See_Yan,25,826
76,BrokenRobot,20,812
77,babenko.e,19,795
78,go39,9,788
79,27B01-Audrey,23,756
80,kovarex,12,754
81,happybythree,63,741
82,Alina_Cat,20,725
83,Elgizio,60,717
84,Reclusx,19,708
85,Urutman,18,701
86,27B06-jhc,20,697
87,monoid,18,696
88,Tình,93,683
89,Mladen,19,644
90,Miko_boc,18,633
91,Imaim,20,621
92,Futsal,20,616
93,John_Lenin,81,596
94,cadopasa,26,593
95,Eric Day,44,589
96,27B29-Jy,16,581
97,Sittichok_,13,569
98,Vasiliy,12,567
99,Ivan_P,11,554
100,hoshi911,11,538
101,Алпетр,14,527
102,theo2017,20,525
103,Bekintosh,12,521
104,Kimok,3,494
105,oreiller,10,493
106,derya,12,482
107,MrX,29,465
108,black monkey_mh,24,465
109,Greg,1,448
110,Chon,10,440
111,suh miko,10,435
112,thida2015,10,427
113,CosmicHawk,5,424
114,anishk,13,412
115,thonthan794,9,411
116,Richert ,8,402
117,Fupfv,1,400
118,TheoSuper,12,389
119,Mizutamari,10,380
120,27B30-weijie,18,377
121,Myco95,12,371
122,phufah,13,368
123,jb0027,9,365
124,Sorry,10,345
125,Master,4,340
126,Hargevian,16,328
127,IvanIgo,7,322
128,ecdave,1,320
129,Grmroman,11,305
130,Hrasek,13,304
131,Ludvig,3,298
132,FinnFol,7,292
133,Vincible,7,280
134,twobits,10,270
135,Stepan,27,270
136,posetcay,5,263
137,Larsi,7,261
138,BENOIT,6,260
139,Sheryl,7,259
140,dangquanghieu,16,258
141, Shin,6,248
142,Liuba,25,229
143,mungkung,5,227
144,Fayfay,5,225
145,Mariano,10,209
146,Elphiya,3,208
147,Kiattiyos Laohasurayotin,3,206
148,StephaneLamy,2,206
149,varga,5,179
150,Baiel,5,175
151,E27Adrian,6,172
152,Andrew1723,5,171
153,27B10-guanlam,11,168
154,Jollto,11,163
155,Васюков Кирилл,4,163
156,Eulalio,3,155
157,Kafka,3,154
158,Nursultan,4,139
159,Madec,7,139
160,Atai-D,5,137
161,Patrick361,2,131
162,TSo,3,118
163,jen.jen,2,116
164,Toumitsu,2,97
165,Katy,3,95
166,Nur,2,73
167,Robin22,4,72
168,Hatitze,1,68
169,Mathieu Lalonde,2,65
170,Rippa *,1,60
171,Csabipro,6,55
172,Arcego,2,49
173,Artego,2,39
174,YuriyStepanovich,1,39
175,SofiaQu,1,37
176,1001kyu,1,37
177,Sadaharu,1,25
178,todayagain,1,4
