,Name,Score,XP
1,ozgur iscimen,95,18593
2,kserks2727,317,10036
3,Gurume_umshi,120,4640
4,keeta2014,260,4537
5,Keerin2013,186,4381
6,Арина,99,4053
7,Us0kerra,394,3999
8,Louise Roullier,117,3801
9,ken kawin,214,3783
10,yenmilee,103,3772
11,IvanIvo,101,3614
12,PumpkinLawn,168,3304
13,Ivan Detkov,80,3096
14,SideArket,57,3007
15,l_s_deus,19,2631
16,richyfourtytwo,79,2609
17,crazypenguin,74,2559
18,Violetta,213,2558
19,kai kawee,168,2552
20,Romart,60,2479
21,wyverx,72,2435
22,ver2xa,111,2391
23,OIL_000,69,2307
24,Arthit,63,2273
25,Nastia,121,2051
26,agnese,68,1913
27,rawu,48,1904
28,Hayatyan,40,1898
29,ooaa,46,1872
30,Ener,36,1872
31,punyisa-MH,60,1865
32,John_Lenin,201,1837
33,Sunshine123,53,1834
34,Alexey11,55,1833
35,27B27-yuxian,50,1778
36,aloneal,26,1770
37,Jia jie,47,1716
38,27B16-Phua,45,1547
39,Citery,75,1525
40,posetcay,27,1482
41,Semetei,24,1461
42,Brigadoon,33,1449
43,Ubergite,104,1438
44,Psyta6d,66,1438
45,kongbenggggg,59,1437
46,midmit,53,1435
47,YuriyStepanovich,17,1429
48,Hrewsahgs,37,1394
49,Fon_MH,32,1393
50,OleksandrY,27,1387
51,YarikRo,24,1362
52,Chelpy_kr,34,1331
53,rominokun,11,1304
54,ZeleninDE,59,1247
55,Mila18,42,1239
56,tarantool,21,1236
57,AsyaLark,60,1224
58,Erhan BARIS,48,1196
59,Techin,27,1175
60,Revelation,26,1122
61,Harshit Tiwari,38,1103
62,Piniouf,18,1103
63,Incognito,14,1080
64,คิน วท.นฐ.,25,1073
65,felino,110,1052
66,Fanfate,15,1043
67,Djab,12,1008
68,Jslate,25,1000
69,Orinoko,54,996
70,weasy,37,988
71,Yarosurabu,10,980
72,Jokohouse,20,961
73,27B05-wenci,27,943
74,Suhas,21,912
75,dtiger,14,906
76,Zumo,28,905
77,BONUS_MH,29,890
78,kerekecuk,22,888
79,HolyD,19,834
80,27B14-See_Yan,25,826
81,babenko.e,20,820
82,BrokenRobot,20,812
83,go39,9,788
84,27B01-Audrey,23,756
85,kovarex,12,754
86,happybythree,63,741
87,VikKas,17,737
88,Alina_Cat,20,725
89,Elgizio,60,717
90,Reclusx,19,708
91,Urutman,18,701
92,27B06-jhc,20,697
93,monoid,18,696
94,Kimok,6,687
95,Tình,93,683
96,Mladen,19,644
97,Miko_boc,18,633
98,Imaim,20,621
99,Futsal,20,616
100,cadopasa,26,593
101,Eric Day,44,589
102,27B29-Jy,16,581
103,Sittichok_,13,569
104,Vasiliy,12,567
105,Grmroman,18,561
106,Ivan_P,11,554
107,hoshi911,11,538
108,Алпетр,14,527
109,theo2017,20,525
110,Bekintosh,12,521
111,oreiller,10,493
112,Eulalio,10,488
113,derya,12,482
114,MrX,29,465
115,black monkey_mh,24,465
116,Greg,1,448
117,Chon,10,440
118,suh miko,10,435
119,thida2015,10,427
120,CosmicHawk,5,424
121,anishk,13,412
122,thonthan794,9,411
123,Richert ,8,402
124,Fupfv,1,400
125,Azerty,9,400
126,TheoSuper,12,389
127,Mizutamari,10,380
128,27B30-weijie,18,377
129,Patrick361,10,372
130,Myco95,12,371
131,phufah,13,368
132,jb0027,9,365
133,Sorry,10,345
134,Master,4,340
135,Hargevian,16,328
136,IvanIgo,7,322
137,ecdave,1,320
138,Hrasek,13,304
139,Ludvig,3,298
140,FinnFol,7,292
141,Vincible,7,280
142,twobits,10,270
143,Stepan,27,270
144,Larsi,7,261
145,BENOIT,6,260
146,Sheryl,7,259
147,dangquanghieu,16,258
148, Shin,6,248
149,Liuba,25,229
150,mungkung,5,227
151,Fayfay,5,225
152,Mariano,10,209
153,Elphiya,3,208
154,Kiattiyos Laohasurayotin,3,206
155,StephaneLamy,2,206
156,varga,5,179
157,Baiel,5,175
158,E27Adrian,6,172
159,Andrew1723,5,171
160,27B10-guanlam,11,168
161,Jollto,11,163
162,Васюков Кирилл,4,163
163,darkzurym,3,162
164,Kafka,3,154
165,Torcsimsgo,3,151
166,Nursultan,4,139
167,Madec,7,139
168,Atai-D,5,137
169,TSo,3,118
170,jen.jen,2,116
171,Toumitsu,2,97
172,Katy,3,95
173,Alexdzen,3,93
174,Arcego,3,91
175,Nur,2,73
176,Robin22,4,72
177,Hatitze,1,68
178,Mathieu Lalonde,2,65
179,Launeor,2,62
180,Rippa *,1,60
181,Csabipro,6,55
182,Artego,2,39
183,SofiaQu,1,37
184,1001kyu,1,37
185,Sadaharu,1,25
186,Erkan M,1,22
187,todayagain,1,4
