,Name,Score,XP
1,kserks2727,317,10036
2,Gurume_umshi,120,4640
3,keeta2014,260,4537
4,Keerin2013,186,4381
5,Арина,99,4053
6,ken kawin,214,3783
7,yenmilee,103,3772
8,IvanIvo,101,3614
9,PumpkinLawn,168,3304
10,l_s_deus,19,2631
11,richyfourtytwo,79,2609
12,Ivan Detkov,56,2602
13,crazypenguin,74,2559
14,kai kawee,168,2552
15,Romart,60,2479
16,wyverx,72,2435
17,ver2xa,111,2391
18,Violetta,196,2388
19,OIL_000,69,2307
20,Arthit,63,2273
21,Nastia,121,2051
22,agnese,68,1913
23,rawu,48,1904
24,Hayatyan,40,1898
25,ooaa,46,1872
26,Ener,36,1872
27,punyisa-MH,60,1865
28,Sunshine123,53,1834
29,Alexey11,55,1833
30,27B27-yuxian,50,1778
31,Jia jie,47,1716
32,aloneal,22,1570
33,27B16-Phua,45,1547
34,Citery,75,1525
35,Semetei,24,1461
36,Brigadoon,33,1449
37,Ubergite,104,1438
38,kongbenggggg,59,1437
39,midmit,53,1435
40,Hrewsahgs,37,1394
41,Fon_MH,32,1393
42,OleksandrY,27,1387
43,YarikRo,24,1362
44,Chelpy_kr,34,1331
45,ZeleninDE,59,1247
46,Mila18,42,1239
47,tarantool,21,1236
48,AsyaLark,60,1224
49,Erhan BARIS,48,1196
50,Techin,27,1175
51,Revelation,26,1122
52,Harshit Tiwari,38,1103
53,Piniouf,18,1103
54,Louise Roullier,35,1090
55,Incognito,14,1080
56,คิน วท.นฐ.,25,1073
57,Fanfate,15,1043
58,Djab,12,1008
59,Jslate,25,1000
60,Orinoko,54,996
61,weasy,37,988
62,felino,103,982
63,Yarosurabu,10,980
64,Jokohouse,20,961
65,27B05-wenci,27,943
66,Suhas,21,912
67,dtiger,14,906
68,Zumo,28,905
69,BONUS_MH,29,890
70,kerekecuk,22,888
71,SideArket,17,874
72,Us0kerra,115,862
73,HolyD,19,834
74,27B14-See_Yan,25,826
75,BrokenRobot,20,812
76,go39,9,788
77,27B01-Audrey,23,756
78,kovarex,12,754
79,happybythree,63,741
80,Alina_Cat,20,725
81,Elgizio,60,717
82,Reclusx,19,708
83,Urutman,18,701
84,27B06-jhc,20,697
85,monoid,18,696
86,Tình,93,683
87,Mladen,19,644
88,Miko_boc,18,633
89,Imaim,20,621
90,Futsal,20,616
91,cadopasa,26,593
92,Eric Day,44,589
93,27B29-Jy,16,581
94,Sittichok_,13,569
95,Vasiliy,12,567
96,Ivan_P,11,554
97,hoshi911,11,538
98,Алпетр,14,527
99,theo2017,20,525
100,Bekintosh,12,521
101,Kimok,3,494
102,oreiller,10,493
103,derya,12,482
104,black monkey_mh,24,465
105,Greg,1,448
106,Chon,10,440
107,suh miko,10,435
108,thida2015,10,427
109,CosmicHawk,5,424
110,anishk,13,412
111,thonthan794,9,411
112,Richert ,8,402
113,Fupfv,1,400
114,TheoSuper,12,389
115,Mizutamari,10,380
116,27B30-weijie,18,377
117,Myco95,12,371
118,phufah,13,368
119,jb0027,9,365
120,Sorry,10,345
121,Master,4,340
122,Hargevian,16,328
123,IvanIgo,7,322
124,ecdave,1,320
125,Hrasek,13,304
126,Ludvig,3,298
127,FinnFol,7,292
128,Vincible,7,280
129,twobits,10,270
130,Stepan,27,270
131,posetcay,5,263
132,Larsi,7,261
133,BENOIT,6,260
134,Sheryl,7,259
135,dangquanghieu,16,258
136, Shin,6,248
137,Liuba,25,229
138,mungkung,5,227
139,Fayfay,5,225
140,Mariano,10,209
141,Elphiya,3,208
142,Kiattiyos Laohasurayotin,3,206
143,StephaneLamy,2,206
144,varga,5,179
145,Baiel,5,175
146,E27Adrian,6,172
147,Andrew1723,5,171
148,27B10-guanlam,11,168
149,Jollto,11,163
150,Васюков Кирилл,4,163
151,Eulalio,3,155
152,Kafka,3,154
153,Madec,7,139
154,Atai-D,5,137
155,Grmroman,5,134
156,Patrick361,2,131
157,TSo,3,118
158,jen.jen,2,116
159,John_Lenin,16,115
160,Toumitsu,2,97
161,Katy,3,95
162,Nur,2,73
163,Robin22,4,72
164,Hatitze,1,68
165,Mathieu Lalonde,2,65
166,Rippa *,1,60
167,Csabipro,6,55
168,babenko.e,1,50
169,Arcego,2,49
170,Artego,2,39
171,YuriyStepanovich,1,39
172,SofiaQu,1,37
173,1001kyu,1,37
174,Nursultan,1,35
175,Sadaharu,1,25
176,MrX,2,16
177,todayagain,1,4
