,Name,Score,XP
1,kserks2727,317,10036
2,Gurume_umshi,120,4640
3,keeta2014,260,4537
4,Keerin2013,186,4381
5,Арина,99,4053
6,ken kawin,214,3783
7,yenmilee,103,3772
8,IvanIvo,101,3614
9,PumpkinLawn,168,3304
10,l_s_deus,19,2631
11,richyfourtytwo,79,2609
12,crazypenguin,74,2559
13,kai kawee,168,2552
14,Romart,60,2479
15,ver2xa,111,2391
16,OIL_000,69,2307
17,Arthit,63,2273
18,agnese,68,1913
19,rawu,48,1904
20,Hayatyan,40,1898
21,ooaa,46,1872
22,punyisa-MH,60,1865
23,Sunshine123,53,1834
24,Alexey11,55,1833
25,27B27-yuxian,50,1778
26,Jia jie,47,1716
27,Ener,33,1713
28,27B16-Phua,45,1547
29,Citery,75,1525
30,Brigadoon,33,1449
31,midmit,53,1435
32,Hrewsahgs,37,1394
33,Fon_MH,32,1393
34,OleksandrY,27,1387
35,YarikRo,24,1362
36,aloneal,18,1332
37,Chelpy_kr,34,1331
38,ZeleninDE,59,1247
39,Mila18,42,1239
40,tarantool,21,1236
41,AsyaLark,60,1224
42,Erhan BARIS,48,1196
43,Techin,27,1175
44,wyverx,33,1150
45,Revelation,26,1122
46,Harshit Tiwari,38,1103
47,Piniouf,18,1103
48,Louise Roullier,35,1090
49,Incognito,14,1080
50,คิน วท.นฐ.,25,1073
51,Fanfate,15,1043
52,Djab,12,1008
53,Jslate,25,1000
54,weasy,37,988
55,Yarosurabu,10,980
56,Jokohouse,20,961
57,27B05-wenci,27,943
58,dtiger,14,906
59,Zumo,28,905
60,BONUS_MH,29,890
61,kerekecuk,22,888
62,HolyD,19,834
63,27B14-See_Yan,25,826
64,BrokenRobot,20,812
65,go39,9,788
66,27B01-Audrey,23,756
67,kovarex,12,754
68,happybythree,63,741
69,Elgizio,60,717
70,felino,76,712
71,Reclusx,19,708
72,Urutman,18,701
73,27B06-jhc,20,697
74,monoid,18,696
75,Tình,93,683
76,Mladen,19,644
77,Miko_boc,18,633
78,Imaim,20,621
79,Futsal,20,616
80,Ubergite,34,595
81,Eric Day,44,589
82,27B29-Jy,16,581
83,Sittichok_,13,569
84,Vasiliy,12,567
85,Ivan_P,11,554
86,hoshi911,11,538
87,Алпетр,14,527
88,theo2017,20,525
89,Semetei,8,507
90,Kimok,3,494
91,cadopasa,20,487
92,derya,12,482
93,black monkey_mh,24,465
94,Greg,1,448
95,Chon,10,440
96,suh miko,10,435
97,thida2015,10,427
98,CosmicHawk,5,424
99,anishk,13,412
100,thonthan794,9,411
101,Richert ,8,402
102,Fupfv,1,400
103,TheoSuper,12,389
104,Mizutamari,10,380
105,27B30-weijie,18,377
106,Myco95,12,371
107,phufah,13,368
108,jb0027,9,365
109,Nastia,34,361
110,Sorry,10,345
111,Master,4,340
112,Hargevian,16,328
113,IvanIgo,7,322
114,ecdave,1,320
115,Suhas,8,315
116,Hrasek,13,304
117,Ludvig,3,298
118,Alina_Cat,8,297
119,Vincible,7,280
120,Stepan,27,270
121,posetcay,5,263
122,Larsi,7,261
123,oreiller,9,261
124,BENOIT,6,260
125,dangquanghieu,16,258
126,Bekintosh,6,257
127, Shin,6,248
128,Liuba,25,229
129,mungkung,5,227
130,Fayfay,5,225
131,Mariano,10,209
132,Elphiya,3,208
133,Kiattiyos Laohasurayotin,3,206
134,StephaneLamy,2,206
135,varga,5,179
136,Baiel,5,175
137,E27Adrian,6,172
138,Andrew1723,5,171
139,27B10-guanlam,11,168
140,Jollto,11,163
141,Васюков Кирилл,4,163
142,Eulalio,3,155
143,Kafka,3,154
144,Us0kerra,18,139
145,Atai-D,5,137
146,Grmroman,5,134
147,Patrick361,2,131
148,twobits,5,124
149,TSo,3,118
150,jen.jen,2,116
151,Toumitsu,2,97
152,Katy,3,95
153,Nur,2,73
154,Robin22,4,72
155,Hatitze,1,68
156,Mathieu Lalonde,2,65
157,Rippa *,1,60
158,Csabipro,6,55
159,Arcego,2,49
160,Artego,2,39
161,YuriyStepanovich,1,39
162,SofiaQu,1,37
163,1001kyu,1,37
164,Nursultan,1,35
165,Sadaharu,1,25
166,todayagain,1,4
