,Name,Score,XP
1,kserks2727,317,10036
2,Gurume_umshi,120,4640
3,keeta2014,260,4537
4,Keerin2013,186,4381
5,Арина,99,4053
6,ken kawin,214,3783
7,yenmilee,103,3772
8,IvanIvo,101,3614
9,PumpkinLawn,168,3304
10,Ivan Detkov,79,3075
11,l_s_deus,19,2631
12,richyfourtytwo,79,2609
13,crazypenguin,74,2559
14,Violetta,213,2558
15,kai kawee,168,2552
16,Romart,60,2479
17,wyverx,72,2435
18,ver2xa,111,2391
19,Us0kerra,269,2356
20,OIL_000,69,2307
21,Arthit,63,2273
22,Nastia,121,2051
23,agnese,68,1913
24,rawu,48,1904
25,Hayatyan,40,1898
26,ooaa,46,1872
27,Ener,36,1872
28,punyisa-MH,60,1865
29,John_Lenin,201,1837
30,Sunshine123,53,1834
31,Alexey11,55,1833
32,27B27-yuxian,50,1778
33,aloneal,26,1770
34,Jia jie,47,1716
35,27B16-Phua,45,1547
36,Citery,75,1525
37,Semetei,24,1461
38,Brigadoon,33,1449
39,Ubergite,104,1438
40,kongbenggggg,59,1437
41,midmit,53,1435
42,Hrewsahgs,37,1394
43,Fon_MH,32,1393
44,OleksandrY,27,1387
45,YarikRo,24,1362
46,SideArket,25,1348
47,Chelpy_kr,34,1331
48,ZeleninDE,59,1247
49,Mila18,42,1239
50,tarantool,21,1236
51,AsyaLark,60,1224
52,Erhan BARIS,48,1196
53,Techin,27,1175
54,Revelation,26,1122
55,Harshit Tiwari,38,1103
56,Piniouf,18,1103
57,ozgur iscimen,32,1096
58,Louise Roullier,35,1090
59,Incognito,14,1080
60,คิน วท.นฐ.,25,1073
61,felino,110,1052
62,Fanfate,15,1043
63,Djab,12,1008
64,Jslate,25,1000
65,Orinoko,54,996
66,weasy,37,988
67,Yarosurabu,10,980
68,Jokohouse,20,961
69,27B05-wenci,27,943
70,Suhas,21,912
71,dtiger,14,906
72,Zumo,28,905
73,BONUS_MH,29,890
74,kerekecuk,22,888
75,HolyD,19,834
76,27B14-See_Yan,25,826
77,babenko.e,20,820
78,BrokenRobot,20,812
79,go39,9,788
80,27B01-Audrey,23,756
81,kovarex,12,754
82,happybythree,63,741
83,VikKas,17,737
84,Alina_Cat,20,725
85,Elgizio,60,717
86,Reclusx,19,708
87,Urutman,18,701
88,27B06-jhc,20,697
89,monoid,18,696
90,Kimok,6,687
91,Tình,93,683
92,Mladen,19,644
93,Miko_boc,18,633
94,Imaim,20,621
95,Futsal,20,616
96,cadopasa,26,593
97,Eric Day,44,589
98,27B29-Jy,16,581
99,Sittichok_,13,569
100,Vasiliy,12,567
101,Grmroman,18,561
102,Ivan_P,11,554
103,hoshi911,11,538
104,Алпетр,14,527
105,theo2017,20,525
106,Bekintosh,12,521
107,oreiller,10,493
108,derya,12,482
109,MrX,29,465
110,black monkey_mh,24,465
111,Greg,1,448
112,Chon,10,440
113,suh miko,10,435
114,thida2015,10,427
115,CosmicHawk,5,424
116,anishk,13,412
117,thonthan794,9,411
118,Richert ,8,402
119,Fupfv,1,400
120,TheoSuper,12,389
121,YuriyStepanovich,2,383
122,Mizutamari,10,380
123,27B30-weijie,18,377
124,Myco95,12,371
125,phufah,13,368
126,jb0027,9,365
127,Sorry,10,345
128,Master,4,340
129,Hargevian,16,328
130,IvanIgo,7,322
131,ecdave,1,320
132,Hrasek,13,304
133,Ludvig,3,298
134,FinnFol,7,292
135,Vincible,7,280
136,twobits,10,270
137,Stepan,27,270
138,posetcay,5,263
139,Larsi,7,261
140,BENOIT,6,260
141,Sheryl,7,259
142,dangquanghieu,16,258
143, Shin,6,248
144,Eulalio,5,237
145,Liuba,25,229
146,mungkung,5,227
147,Fayfay,5,225
148,Mariano,10,209
149,Elphiya,3,208
150,Kiattiyos Laohasurayotin,3,206
151,StephaneLamy,2,206
152,varga,5,179
153,Baiel,5,175
154,E27Adrian,6,172
155,Andrew1723,5,171
156,27B10-guanlam,11,168
157,Jollto,11,163
158,Васюков Кирилл,4,163
159,Kafka,3,154
160,Nursultan,4,139
161,Madec,7,139
162,Atai-D,5,137
163,Patrick361,2,131
164,TSo,3,118
165,jen.jen,2,116
166,Toumitsu,2,97
167,Katy,3,95
168,Nur,2,73
169,Robin22,4,72
170,Hatitze,1,68
171,Mathieu Lalonde,2,65
172,Rippa *,1,60
173,Csabipro,6,55
174,Arcego,2,49
175,Artego,2,39
176,SofiaQu,1,37
177,1001kyu,1,37
178,Sadaharu,1,25
179,todayagain,1,4
