,Name,Score,XP
1,kserks2727,317,10036
2,Gurume_umshi,120,4640
3,keeta2014,260,4537
4,Keerin2013,186,4381
5,Арина,99,4053
6,ken kawin,214,3783
7,yenmilee,103,3772
8,IvanIvo,101,3614
9,PumpkinLawn,168,3304
10,l_s_deus,19,2631
11,richyfourtytwo,79,2609
12,crazypenguin,74,2559
13,kai kawee,168,2552
14,Romart,60,2479
15,ver2xa,111,2391
16,OIL_000,69,2307
17,Arthit,63,2273
18,agnese,68,1913
19,rawu,48,1904
20,Hayatyan,40,1898
21,ooaa,46,1872
22,punyisa-MH,60,1865
23,Sunshine123,53,1834
24,Alexey11,55,1833
25,27B27-yuxian,50,1778
26,Jia jie,47,1716
27,Ener,30,1564
28,27B16-Phua,45,1547
29,Citery,75,1525
30,Brigadoon,33,1449
31,midmit,53,1435
32,Hrewsahgs,37,1394
33,Fon_MH,32,1393
34,OleksandrY,27,1387
35,YarikRo,24,1362
36,aloneal,18,1332
37,Chelpy_kr,34,1331
38,ZeleninDE,59,1247
39,Mila18,42,1239
40,tarantool,21,1236
41,AsyaLark,60,1224
42,Erhan BARIS,48,1196
43,Techin,27,1175
44,Revelation,26,1122
45,Harshit Tiwari,38,1103
46,Piniouf,18,1103
47,Louise Roullier,35,1090
48,Incognito,14,1080
49,คิน วท.นฐ.,25,1073
50,Fanfate,15,1043
51,Djab,12,1008
52,Jslate,25,1000
53,weasy,37,988
54,Yarosurabu,10,980
55,Jokohouse,20,961
56,27B05-wenci,27,943
57,dtiger,14,906
58,Zumo,28,905
59,BONUS_MH,29,890
60,kerekecuk,22,888
61,HolyD,19,834
62,27B14-See_Yan,25,826
63,BrokenRobot,20,812
64,go39,9,788
65,27B01-Audrey,23,756
66,kovarex,12,754
67,happybythree,63,741
68,Elgizio,60,717
69,felino,76,712
70,Reclusx,19,708
71,Urutman,18,701
72,27B06-jhc,20,697
73,monoid,18,696
74,Tình,93,683
75,Mladen,19,644
76,Miko_boc,18,633
77,Imaim,20,621
78,Futsal,20,616
79,Ubergite,34,595
80,Eric Day,44,589
81,27B29-Jy,16,581
82,Sittichok_,13,569
83,Vasiliy,12,567
84,Ivan_P,11,554
85,hoshi911,11,538
86,Алпетр,14,527
87,theo2017,20,525
88,Semetei,8,507
89,Kimok,3,494
90,derya,12,482
91,black monkey_mh,24,465
92,Greg,1,448
93,Chon,10,440
94,suh miko,10,435
95,cadopasa,17,431
96,thida2015,10,427
97,CosmicHawk,5,424
98,anishk,13,412
99,thonthan794,9,411
100,Richert ,8,402
101,Fupfv,1,400
102,TheoSuper,12,389
103,Mizutamari,10,380
104,27B30-weijie,18,377
105,Myco95,12,371
106,phufah,13,368
107,jb0027,9,365
108,Nastia,34,361
109,Sorry,10,345
110,Master,4,340
111,Hargevian,16,328
112,IvanIgo,7,322
113,ecdave,1,320
114,Suhas,8,315
115,wyverx,7,310
116,Hrasek,13,304
117,Ludvig,3,298
118,Vincible,7,280
119,Stepan,27,270
120,posetcay,5,263
121,Larsi,7,261
122,BENOIT,6,260
123,dangquanghieu,16,258
124,Bekintosh,6,257
125, Shin,6,248
126,Liuba,25,229
127,mungkung,5,227
128,Fayfay,5,225
129,Mariano,10,209
130,Elphiya,3,208
131,Kiattiyos Laohasurayotin,3,206
132,StephaneLamy,2,206
133,varga,5,179
134,Baiel,5,175
135,E27Adrian,6,172
136,Andrew1723,5,171
137,27B10-guanlam,11,168
138,Jollto,11,163
139,Васюков Кирилл,4,163
140,Eulalio,3,155
141,Kafka,3,154
142,Us0kerra,18,139
143,Atai-D,5,137
144,Grmroman,5,134
145,Patrick361,2,131
146,twobits,5,124
147,TSo,3,118
148,jen.jen,2,116
149,Toumitsu,2,97
150,Katy,3,95
151,Robin22,4,72
152,Hatitze,1,68
153,Mathieu Lalonde,2,65
154,oreiller,2,61
155,Rippa *,1,60
156,Alina_Cat,2,58
157,Csabipro,6,55
158,Arcego,2,49
159,Artego,2,39
160,YuriyStepanovich,1,39
161,SofiaQu,1,37
162,1001kyu,1,37
163,Nursultan,1,35
164,Sadaharu,1,25
165,todayagain,1,4
